Code,name,Location,Margin,total_sales,supplier_total_claim,retailer_total_claim,transaction,item
"A181","AFANDI FOOD INDUSTRIES","GMS","10","607.10","546.39","60.71","96","3"
"A181","AFANDI FOOD INDUSTRIES","MR","10","1058.93","953.04","105.89","146","3"
"A181","AFANDI FOOD INDUSTRIES","PDS","10","888.00","799.20","88.80","140","3"
"A181","AFANDI FOOD INDUSTRIES","SGM","10","129.40","116.46","12.94","27","3"
"A181","AFANDI FOOD INDUSTRIES","SNW","10","1259.20","1133.28","125.92","182","3"
"A181","AFANDI FOOD INDUSTRIES","TKK","10","137.30","123.57","13.73","30","3"
"B036","BENTOP COLLECTION","BGJ","16","11415.30","9062.07","2353.23","200","16"
"B036","BENTOP COLLECTION","TGM","20","9192.25","7353.40","1838.85","158","28"
"B069","BUITONI (M) SDN BHD","JRT","15","10338.25","8655.64","1682.61","258","25"
"B069","BUITONI (M) SDN BHD","RB","15","11558.05","9769.38","1788.67","267","27"
"B081","BLUE SKY GARMENT ENTERPRISE","BER","25","917.90","688.42","229.47","57","4"
"B081","BLUE SKY GARMENT ENTERPRISE","BGJ","20","1036.50","782.10","254.40","60","4"
"B081","BLUE SKY GARMENT ENTERPRISE","BT1","25","616.00","462.00","154.00","38","2"
"B081","BLUE SKY GARMENT ENTERPRISE","BT2","20","2950.50","2230.83","719.67","163","4"
"B081","BLUE SKY GARMENT ENTERPRISE","GMS","25","2146.00","1609.50","536.50","115","3"
"B081","BLUE SKY GARMENT ENTERPRISE","IBN","20","1536.20","1188.28","347.92","92","7"
"B081","BLUE SKY GARMENT ENTERPRISE","KKD","25","1776.90","1338.17","438.73","99","5"
"B081","BLUE SKY GARMENT ENTERPRISE","KLM","25","1190.30","939.03","251.28","72","5"
"B081","BLUE SKY GARMENT ENTERPRISE","KLP","25","4236.00","3177.00","1059.00","253","3"
"B081","BLUE SKY GARMENT ENTERPRISE","MR","25","3769.20","2826.90","942.30","201","3"
"B081","BLUE SKY GARMENT ENTERPRISE","MTK","25","991.65","756.49","235.15","67","5"
"B081","BLUE SKY GARMENT ENTERPRISE","NSB","25","2778.40","2093.30","685.10","150","4"
"B081","BLUE SKY GARMENT ENTERPRISE","PDS","20","6867.55","5167.20","1700.35","374","4"
"B081","BLUE SKY GARMENT ENTERPRISE","PLU","20","1550.00","1240.00","310.00","116","1"
"B081","BLUE SKY GARMENT ENTERPRISE","RB","20","4155.10","3137.02","1018.09","239","6"
"B081","BLUE SKY GARMENT ENTERPRISE","SGM","20","460.00","368.00","92.00","22","1"
"B081","BLUE SKY GARMENT ENTERPRISE","SGP","20","690.00","552.00","138.00","56","1"
"B081","BLUE SKY GARMENT ENTERPRISE","SGS","20","1581.60","1189.70","391.90","94","3"
"B081","BLUE SKY GARMENT ENTERPRISE","SM2","20","320.90","256.72","64.18","21","2"
"B081","BLUE SKY GARMENT ENTERPRISE","SMJ","20","37.80","30.24","7.56","4","1"
"B081","BLUE SKY GARMENT ENTERPRISE","SPE","20","154.90","123.92","30.98","9","2"
"B081","BLUE SKY GARMENT ENTERPRISE","TGM","20","2007.60","1512.00","495.60","120","4"
"B081","BLUE SKY GARMENT ENTERPRISE","TI1","25","4171.10","3157.74","1013.36","221","8"
"B081","BLUE SKY GARMENT ENTERPRISE","TI2","25","4714.90","3560.68","1154.23","273","6"
"B081","BLUE SKY GARMENT ENTERPRISE","TML","25","941.70","706.27","235.42","58","3"
"B081","BLUE SKY GARMENT ENTERPRISE","TPH","20","75.60","60.48","15.12","8","1"
"B099","BILLION COMMERCE SDN BHD","BER","15","15801.05","12575.04","3226.01","345","61"
"B099","BILLION COMMERCE SDN BHD","BGJ","18","6429.80","5221.99","1207.81","165","36"
"B099","BILLION COMMERCE SDN BHD","BT2","15","7726.20","6253.00","1473.20","221","42"
"B099","BILLION COMMERCE SDN BHD","GMS","18","9658.90","7818.24","1840.66","246","45"
"B099","BILLION COMMERCE SDN BHD","GRK","12","9023.80","7379.89","1643.91","211","39"
"B099","BILLION COMMERCE SDN BHD","IBN","18","5151.50","4194.10","957.40","132","33"
"B099","BILLION COMMERCE SDN BHD","JRT","12","12497.95","10277.32","2220.63","308","42"
"B099","BILLION COMMERCE SDN BHD","MR","18","9280.20","7518.79","1761.41","210","28"
"B099","BILLION COMMERCE SDN BHD","PDS","12","3343.15","2760.16","582.99","124","33"
"B099","BILLION COMMERCE SDN BHD","RB","18","12003.65","9772.57","2231.08","287","41"
"B099","BILLION COMMERCE SDN BHD","SGB","18","6636.00","5285.44","1350.56","166","37"
"B099","BILLION COMMERCE SDN BHD","SGP","25","10049.00","8413.65","1635.35","314","27"
"B099","BILLION COMMERCE SDN BHD","SGS","18","4576.80","3658.95","917.85","115","28"
"B099","BILLION COMMERCE SDN BHD","SM2","25","10922.90","8772.38","2150.52","250","39"
"B099","BILLION COMMERCE SDN BHD","SPE","18","1580.00","1319.19","260.81","63","18"
"B099","BILLION COMMERCE SDN BHD","TGM","18","6095.00","5023.75","1071.25","163","31"
"B099","BILLION COMMERCE SDN BHD","TJG","18","2238.35","1804.32","434.02","69","25"
"B099","BILLION COMMERCE SDN BHD","TKK","18","1035.40","849.03","186.37","49","16"
"B099","BILLION COMMERCE SDN BHD","TML","18","5222.20","4253.27","968.93","172","28"
"B128","BL FRESH SDN BHD ","IBN","15","43.00","36.55","6.45","3","2"
"C050","CHERRIEFON DISTRIBUTOR","BGJ","20","150.10","120.08","30.02","8","4"
"C050","CHERRIEFON DISTRIBUTOR","JRT","20","219.70","175.76","43.94","10","3"
"C050","CHERRIEFON DISTRIBUTOR","MTK","20","14.90","11.92","2.98","1","1"
"C050","CHERRIEFON DISTRIBUTOR","PDS","20","99.40","79.52","19.88","5","3"
"C050","CHERRIEFON DISTRIBUTOR","SGS","20","565.60","452.48","113.12","27","7"
"C050","CHERRIEFON DISTRIBUTOR","TI1","20","180.90","144.72","36.18","9","4"
"C072","CHIP HWA SDN BHD","BER","15","3772.10","3094.81","677.29","143","28"
"C072","CHIP HWA SDN BHD","BGJ","20","11872.50","9767.73","2104.77","345","61"
"C072","CHIP HWA SDN BHD","BT2","18","15482.35","12746.19","2736.16","357","55"
"C072","CHIP HWA SDN BHD","GMS","15","4877.13","4012.04","865.09","162","48"
"C072","CHIP HWA SDN BHD","IBN","15","4138.75","3396.92","741.83","139","45"
"C072","CHIP HWA SDN BHD","JRT","20","11882.65","9809.48","2073.18","295","49"
"C072","CHIP HWA SDN BHD","KLP","15","13285.05","10948.38","2336.67","271","67"
"C072","CHIP HWA SDN BHD","MR","20","11600.35","9509.81","2090.54","298","59"
"C072","CHIP HWA SDN BHD","MTK","20","329.10","264.89","64.21","10","7"
"C072","CHIP HWA SDN BHD","NSB","15","2343.70","1905.61","438.09","81","33"
"C072","CHIP HWA SDN BHD","PDS","15","8501.00","7004.41","1496.59","234","53"
"C072","CHIP HWA SDN BHD","PLU","20","3512.35","2872.07","640.28","112","44"
"C072","CHIP HWA SDN BHD","RB","15","11738.25","9656.48","2081.77","304","68"
"C072","CHIP HWA SDN BHD","SGB","20","12964.20","10695.86","2268.34","311","90"
"C072","CHIP HWA SDN BHD","SGM","15","2087.75","1700.60","387.15","80","30"
"C072","CHIP HWA SDN BHD","SGS","15","19751.90","16314.92","3436.98","410","61"
"C072","CHIP HWA SDN BHD","SNW","15","2188.50","1790.20","398.30","75","40"
"C072","CHIP HWA SDN BHD","SPE","20","1538.90","1254.69","284.22","45","15"
"C072","CHIP HWA SDN BHD","TGM","15","6765.55","5541.10","1224.45","227","72"
"C072","CHIP HWA SDN BHD","TI1","15","4465.50","3680.49","785.01","111","35"
"C072","CHIP HWA SDN BHD","TKK","20","1220.00","993.28","226.72","38","25"
"C072","CHIP HWA SDN BHD","TML","18","3495.15","2904.80","590.35","141","49"
"C072","CHIP HWA SDN BHD","TPH","20","2796.60","2334.23","462.37","67","34"
"C113","CHONG WAH CORPORATION SDN. BHD.","BER","30","961.75","673.22","288.52","40","33"
"C113","CHONG WAH CORPORATION SDN. BHD.","BGJ","30","2598.20","1818.74","779.46","131","94"
"C113","CHONG WAH CORPORATION SDN. BHD.","BT2","30","241.25","168.87","72.38","18","11"
"C113","CHONG WAH CORPORATION SDN. BHD.","GMS","30","841.60","589.46","252.14","52","41"
"C113","CHONG WAH CORPORATION SDN. BHD.","GRK","30","1692.15","1184.51","507.64","75","70"
"C113","CHONG WAH CORPORATION SDN. BHD.","IBN","30","2419.80","1693.31","726.49","110","81"
"C113","CHONG WAH CORPORATION SDN. BHD.","KLP","30","1811.80","1268.26","543.54","72","48"
"C113","CHONG WAH CORPORATION SDN. BHD.","MR","30","892.50","624.75","267.75","60","54"
"C113","CHONG WAH CORPORATION SDN. BHD.","MTK","30","1597.95","1118.65","479.30","60","50"
"C113","CHONG WAH CORPORATION SDN. BHD.","PDS","30","2284.15","1599.05","685.10","107","74"
"C113","CHONG WAH CORPORATION SDN. BHD.","RB","30","38.50","26.95","11.55","1","1"
"C113","CHONG WAH CORPORATION SDN. BHD.","SGB","30","2487.85","1741.50","746.36","172","120"
"C113","CHONG WAH CORPORATION SDN. BHD.","SGS","30","3467.30","2427.11","1040.19","306","175"
"C113","CHONG WAH CORPORATION SDN. BHD.","SM2","30","378.05","264.64","113.42","26","17"
"C113","CHONG WAH CORPORATION SDN. BHD.","SMJ","30","711.85","498.30","213.55","34","34"
"C113","CHONG WAH CORPORATION SDN. BHD.","TGM","30","2104.40","1473.08","631.32","126","102"
"C113","CHONG WAH CORPORATION SDN. BHD.","TI1","30","1339.05","937.34","401.72","69","68"
"C113","CHONG WAH CORPORATION SDN. BHD.","TI2","30","2125.30","1487.71","637.59","117","86"
"C113","CHONG WAH CORPORATION SDN. BHD.","TJG","30","948.20","663.74","284.46","35","32"
"C113","CHONG WAH CORPORATION SDN. BHD.","TML","30","861.85","603.30","258.55","45","41"
"C113","CHONG WAH CORPORATION SDN. BHD.","TPH","30","1134.75","794.32","340.42","60","50"
"C117","CHIAO HUAT SDN BHD","GMS","28","16002.00","13089.61","2912.39","215","19"
"C117","CHIAO HUAT SDN BHD","JRT","18","11137.10","9139.35","1997.75","142","13"
"C117","CHIAO HUAT SDN BHD","RB","18","13872.90","11265.78","2607.12","181","22"
"C132","CHEETAH CORPORATION(M) SDN BHD","BER","15","7184.00","5976.75","1207.25","186","18"
"C132","CHEETAH CORPORATION(M) SDN BHD","BGJ","15","7415.40","6148.92","1266.48","166","14"
"C132","CHEETAH CORPORATION(M) SDN BHD","BT2","15","10805.50","8982.14","1823.36","262","23"
"C132","CHEETAH CORPORATION(M) SDN BHD","GMS","15","9439.55","7900.81","1538.74","219","23"
"C132","CHEETAH CORPORATION(M) SDN BHD","GRK","15","5585.05","4678.17","906.88","170","15"
"C132","CHEETAH CORPORATION(M) SDN BHD","IBN","18","4356.35","3665.14","691.22","144","13"
"C132","CHEETAH CORPORATION(M) SDN BHD","JRT","15","8517.30","7200.88","1316.42","197","11"
"C132","CHEETAH CORPORATION(M) SDN BHD","KLP","18","9041.25","7506.79","1534.46","219","21"
"C132","CHEETAH CORPORATION(M) SDN BHD","PDS","15","5279.35","4392.10","887.25","155","15"
"C132","CHEETAH CORPORATION(M) SDN BHD","RB","15","22663.35","19118.77","3544.58","436","29"
"C132","CHEETAH CORPORATION(M) SDN BHD","SGB","15","13712.00","11369.82","2342.17","301","27"
"C132","CHEETAH CORPORATION(M) SDN BHD","SGS","18","21030.05","17746.84","3283.21","481","25"
"C132","CHEETAH CORPORATION(M) SDN BHD","TGM","15","15239.10","12849.52","2389.57","306","15"
"C132","CHEETAH CORPORATION(M) SDN BHD","TI1","15","11814.95","9811.48","2003.47","228","19"
"C132","CHEETAH CORPORATION(M) SDN BHD","TML","15","6243.30","5253.21","990.09","177","27"
"C178","COOPTREND","BER","30","26.20","18.34","7.86","2","1"
"C178","COOPTREND","GMS","30","42.45","29.71","12.74","3","1"
"C178","COOPTREND","GRK","30","360.80","252.56","108.24","24","4"
"C178","COOPTREND","MTK","30","198.10","142.17","55.93","12","4"
"C178","COOPTREND","SGB","30","243.05","170.14","72.92","13","5"
"C178","COOPTREND","TGM","30","64.00","44.80","19.20","3","1"
"C178","COOPTREND","TI1","30","64.00","44.80","19.20","4","1"
"C221","CAPRISA MARKETING SDN BHD","TML","20","4921.00","3937.70","983.30","89","10"
"C259","CHOON KEONG ENTERPRISE","BER","30","1023.00","716.10","306.90","74","12"
"C259","CHOON KEONG ENTERPRISE","BGJ","30","1191.60","834.12","357.48","78","15"
"C259","CHOON KEONG ENTERPRISE","BT1","30","380.10","266.07","114.03","45","4"
"C259","CHOON KEONG ENTERPRISE","BT2","30","1387.60","971.32","416.28","79","15"
"C259","CHOON KEONG ENTERPRISE","GMS","30","283.20","198.24","84.96","25","7"
"C259","CHOON KEONG ENTERPRISE","IBN","30","262.00","183.40","78.60","19","7"
"C259","CHOON KEONG ENTERPRISE","JRT","30","1186.10","830.27","355.83","88","9"
"C259","CHOON KEONG ENTERPRISE","KLP","30","2104.30","1473.01","631.29","167","15"
"C259","CHOON KEONG ENTERPRISE","MR","30","1044.10","730.87","313.23","57","10"
"C259","CHOON KEONG ENTERPRISE","MTK","30","913.50","639.45","274.05","81","12"
"C259","CHOON KEONG ENTERPRISE","NSB","30","808.40","565.88","242.52","38","7"
"C259","CHOON KEONG ENTERPRISE","PDS","30","645.60","451.92","193.68","43","12"
"C259","CHOON KEONG ENTERPRISE","PLU","30","713.50","499.45","214.05","49","8"
"C259","CHOON KEONG ENTERPRISE","RB","30","3047.00","2132.90","914.10","208","17"
"C259","CHOON KEONG ENTERPRISE","SGB","30","2073.20","1451.24","621.96","156","14"
"C259","CHOON KEONG ENTERPRISE","SGM","30","279.50","195.65","83.85","30","5"
"C259","CHOON KEONG ENTERPRISE","SGP","30","190.80","133.56","57.24","12","6"
"C259","CHOON KEONG ENTERPRISE","SGS","30","1434.50","1004.15","430.35","134","10"
"C259","CHOON KEONG ENTERPRISE","SM2","30","552.10","386.47","165.63","76","6"
"C259","CHOON KEONG ENTERPRISE","TGM","30","2198.10","1538.67","659.43","167","14"
"C259","CHOON KEONG ENTERPRISE","TI1","30","614.80","430.36","184.44","48","9"
"C259","CHOON KEONG ENTERPRISE","TI2","30","244.10","170.87","73.23","17","9"
"C259","CHOON KEONG ENTERPRISE","TKK","30","199.40","139.58","59.82","14","5"
"C259","CHOON KEONG ENTERPRISE","TML","30","1517.90","1062.53","455.37","97","14"
"C259","CHOON KEONG ENTERPRISE","TPH","30","834.50","584.15","250.35","75","10"
"C264","CT FOOD INDUSTRIES","TJG","10","339.40","305.46","33.94","68","3"
"C273","CNJ FACTORY","BGJ","33","299.60","200.73","98.87","2","2"
"C273","CNJ FACTORY","BT2","33","569.00","381.23","187.77","7","4"
"C273","CNJ FACTORY","GMS","33","479.40","321.20","158.20","5","3"
"C273","CNJ FACTORY","GRK","33","449.10","300.90","148.20","7","4"
"C273","CNJ FACTORY","JRT","33","389.50","260.97","128.54","4","4"
"C273","CNJ FACTORY","KLP","33","1048.50","702.50","346.00","8","4"
"C273","CNJ FACTORY","MR","33","748.40","501.43","246.97","10","3"
"C273","CNJ FACTORY","MTK","33","287.43","192.58","94.85","5","3"
"C273","CNJ FACTORY","PDS","33","838.50","561.79","276.70","8","4"
"C273","CNJ FACTORY","PLU","33","599.10","401.40","197.70","7","4"
"C273","CNJ FACTORY","RB","33","568.80","381.10","187.70","10","4"
"C273","CNJ FACTORY","SGB","33","389.20","260.76","128.44","7","3"
"C273","CNJ FACTORY","SGP","33","119.80","80.27","39.53","2","1"
"C273","CNJ FACTORY","SGS","33","269.40","180.50","88.90","5","3"
"C273","CNJ FACTORY","SM2","33","119.90","80.33","39.57","1","1"
"C273","CNJ FACTORY","TGM","33","59.90","40.13","19.77","1","1"
"C273","CNJ FACTORY","TI1","33","539.00","361.13","177.87","3","3"
"C273","CNJ FACTORY","TI2","33","509.00","341.03","167.97","9","4"
"C273","CNJ FACTORY","TML","33","898.60","602.06","296.54","9","4"
"C273","CNJ FACTORY","TPH","33","449.30","301.03","148.27","5","3"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BER","15","39821.43","33848.22","5973.21","5958","29"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BGJ","15","45394.68","38585.48","6809.20","5831","30"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BT1","15","13425.86","11411.98","2013.88","2002","33"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BT2","15","30383.32","25825.82","4557.50","4422","34"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","GMS","15","51997.10","44197.53","7799.56","7408","51"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","GRK","15","21537.38","18306.77","3230.61","3381","31"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","IBN","15","30400.49","25840.42","4560.07","4373","32"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","JRT","15","47675.92","40524.53","7151.39","6774","33"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","KKD","15","7444.82","6328.10","1116.72","1189","22"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","KLM","15","6380.21","5423.18","957.03","904","21"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","KLP","15","40598.99","34509.14","6089.85","5858","33"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","MR","15","54939.21","46698.33","8240.88","8380","40"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","MTK","15","33733.98","28673.88","5060.10","5457","33"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","NSB","15","7892.35","6708.50","1183.85","1553","44"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","PDS","15","54836.02","46610.62","8225.40","7244","44"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","PLU","15","8521.91","7243.62","1278.29","1486","38"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","RB","15","67730.62","57571.03","10159.59","9142","31"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGB","15","35664.32","30314.67","5349.65","4750","36"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGM","15","9015.11","7662.84","1352.27","1500","35"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGP","15","9882.55","8400.17","1482.38","1241","25"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGS","15","26145.09","22223.33","3921.76","3632","30"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SM2","15","23721.47","20163.25","3558.22","3560","27"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SMJ","15","26691.50","22687.78","4003.73","3727","26"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SNW","15","15146.23","12874.30","2271.93","2469","29"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SPE","15","11482.47","9760.10","1722.37","1708","18"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TGM","15","33863.16","28783.69","5079.47","4689","36"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TI1","15","24306.97","20660.92","3646.05","3356","35"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TI2","15","27656.91","23508.37","4148.54","3868","37"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TJG","15","3371.53","2865.80","505.73","653","16"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TKK","15","16062.99","13653.54","2409.45","2893","38"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TML","15","44414.35","37752.20","6662.15","6485","32"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TPH","15","40447.37","34380.26","6067.11","5255","31"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","BER","15","52432.95","44568.01","7864.94","7505","61"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","BGJ","15","53299.74","45304.78","7994.96","6860","57"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","BT1","15","19634.59","16689.40","2945.19","3013","66"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","BT2","15","42354.32","36001.17","6353.15","6028","67"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","GMS","15","40737.37","34626.76","6110.61","6087","30"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","GRK","15","25595.45","21756.13","3839.32","4020","58"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","IBN","15","38224.06","32490.45","5733.61","5748","61"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","JRT","15","58050.60","49343.01","8707.59","8035","65"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","KKD","15","9682.69","8230.29","1452.40","1673","51"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","KLM","15","8303.86","7058.28","1245.58","1276","48"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","KLP","15","51920.04","44132.03","7788.01","7064","64"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","MR","15","55712.99","47356.04","8356.95","8405","41"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","MTK","15","46240.36","39304.31","6936.05","7169","66"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","NSB","15","7266.56","6176.58","1089.98","1495","31"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","PDS","15","54904.16","46668.54","8235.62","7266","46"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","PLU","15","8344.73","7093.02","1251.71","1472","32"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","RB","15","94325.36","80176.56","14148.80","12373","67"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SGB","15","49755.95","42292.56","7463.39","6931","63"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SGM","15","9285.10","7892.34","1392.77","1600","35"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SGP","15","13550.37","11517.81","2032.56","1872","55"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SGS","15","30072.02","25561.22","4510.80","4322","58"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SM2","15","29108.27","24742.03","4366.24","4340","55"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SMJ","15","32204.44","27373.77","4830.67","4538","53"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SNW","15","15287.84","12994.66","2293.18","2527","31"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","SPE","15","14218.58","12085.79","2132.79","2216","44"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","TGM","15","41839.50","35563.57","6275.93","5833","66"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","TI1","15","32083.03","27270.58","4812.45","4594","64"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","TI2","15","36838.43","31312.67","5525.76","5243","65"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","TJG","15","4345.33","3693.53","651.80","913","31"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","TKK","15","16476.51","14005.03","2471.48","3032","37"
"C278","C&C FOODS MART SDN BHD-CONSIGNMENT","TML","15","55834.55","47459.37","8375.18","7792","63"
